Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MZ516088,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0135-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-18,,"Human respiratory syncytial virus A isolate UU01A-0135-V02, complete genome"
MZ516089,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0028-D05,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15274,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-04,,"Human respiratory syncytial virus B isolate UU02-0028-D05, complete genome"
MZ516090,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0151-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15277,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-22,,"Human respiratory syncytial virus A isolate UU01A-0151-V02, complete genome"
MZ516091,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0006-D09,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),14618,GenBank,partial,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-01-18,,"Human respiratory syncytial virus A isolate SE02-0006-D09, partial genome"
MZ516092,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8234-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15279,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-19,,"Human respiratory syncytial virus A isolate OX02-8234-V01, complete genome"
MZ516093,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8433-D03,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15272,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-15,,"Human respiratory syncytial virus A isolate OX02-8433-D03, complete genome"
MZ516094,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0051-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15262,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-03-28,,"Human respiratory syncytial virus B isolate UU02-0051-D02, complete genome"
MZ516095,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0084-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-12-07,,"Human respiratory syncytial virus B isolate UU02-0084-V01, complete genome"
MZ516096,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8132-D03,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15297,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-07,,"Human respiratory syncytial virus A isolate OX02-8132-D03, complete genome"
MZ516097,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0153-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15277,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-28,,"Human respiratory syncytial virus A isolate UU02-0153-D04, complete genome"
MZ516098,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX01A-8052-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-30,,"Human respiratory syncytial virus B isolate OX01A-8052-V02, complete genome"
MZ516099,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0102-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15299,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-27,,"Human respiratory syncytial virus A isolate UU01A-0102-V02, partial genome"
MZ516100,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0023-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15279,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2020-01-03,,"Human respiratory syncytial virus A isolate SE02-0023-V01, complete genome"
MZ516101,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8813-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-10-25,,"Human respiratory syncytial virus B isolate OX02-8813-D02, complete genome"
MZ516102,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8541-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-10,,"Human respiratory syncytial virus B isolate OX02-8541-V01, complete genome"
MZ516103,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0221-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15269,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-31,,"Human respiratory syncytial virus A isolate UU02-0221-V01, complete genome"
MZ516104,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0068-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15231,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-12-17,,"Human respiratory syncytial virus B isolate UU02-0068-V01, complete genome"
MZ516105,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8128-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-02-05,,"Human respiratory syncytial virus B isolate OX02-8128-V01, complete genome"
MZ516107,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8372-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-28,,"Human respiratory syncytial virus B isolate OX02-8372-V01, complete genome"
MZ516109,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8985-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15232,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-10-29,,"Human respiratory syncytial virus B isolate OX02-8985-D04, complete genome"
MZ516110,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0087-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15274,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-12-14,,"Human respiratory syncytial virus A isolate UU02-0087-V01, complete genome"
MZ516111,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0001-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15278,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2018-12-05,,"Human respiratory syncytial virus A isolate SE02-0001-D02, complete genome"
MZ516112,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-9355-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15280,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-31,,"Human respiratory syncytial virus A isolate OX02-9355-V01, complete genome"
MZ516113,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0152-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-22,,"Human respiratory syncytial virus B isolate UU02-0152-V01, complete genome"
MZ516114,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0005-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15284,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-01-04,,"Human respiratory syncytial virus B isolate SE02-0005-V01, complete genome"
MZ516115,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0029-D03,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15148,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-05,,"Human respiratory syncytial virus B isolate UU02-0029-D03, partial genome"
MZ516116,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8832-D08,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-05,,"Human respiratory syncytial virus B isolate OX02-8832-D08, complete genome"
MZ516117,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE01A-0061-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-01-25,,"Human respiratory syncytial virus A isolate SE01A-0061-V02, complete genome"
MZ516118,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0160-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-27,,"Human respiratory syncytial virus A isolate UU02-0160-D04, complete genome"
MZ516120,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE01A-0110-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15279,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-09,,"Human respiratory syncytial virus A isolate SE01A-0110-V02, complete genome"
MZ516121,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8898-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),14988,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-01,,"Human respiratory syncytial virus B isolate OX02-8898-D02, partial genome"
MZ516122,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE01A-0109-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-16,,"Human respiratory syncytial virus B isolate SE01A-0109-V02, complete genome"
MZ516123,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX01A-8960-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-31,,"Human respiratory syncytial virus B isolate OX01A-8960-V02, complete genome"
MZ516124,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0023-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15282,GenBank,partial,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2020-01-04,,"Human respiratory syncytial virus A isolate SE02-0023-D02, partial genome"
MZ516125,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8304-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-22,,"Human respiratory syncytial virus B isolate OX02-8304-D04, complete genome"
MZ516127,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8513-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-16,,"Human respiratory syncytial virus A isolate OX02-8513-D04, partial genome"
MZ516128,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8017-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15251,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-11-28,,"Human respiratory syncytial virus A isolate OX02-8017-D02, partial genome"
MZ516129,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8584-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15272,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-11-07,,"Human respiratory syncytial virus A isolate OX02-8584-V01, complete genome"
MZ516130,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX03-0094-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15272,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-01-30,,"Human respiratory syncytial virus A isolate OX03-0094-V02, complete genome"
MZ516131,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-9801-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15271,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-16,,"Human respiratory syncytial virus A isolate OX02-9801-D04, partial genome"
MZ516132,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0211-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-13,,"Human respiratory syncytial virus A isolate UU02-0211-V01, complete genome"
MZ516133,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0050-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15237,GenBank,partial,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-01-02,,"Human respiratory syncytial virus B isolate SE02-0050-D04, partial genome"
