Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
DNASE2 deficiency	DNASE2	AR	NA	126350	NA	NA	NA	NA	NA	Glomerulonephritis, arthropathy, vasculitis	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/DNASE2	ensembl.org/DNASE2	omim.org/DNASE2	GWAS/DNASE2	omni/DNASE2	gnomad.org/r2DNASE2	gnomad.org/r3DNASE2	rcsb.org/DNASE2	genenames.org/DNASE2	hpo/ORPHA/DNASE2	hpo.jax.org/DNASE2	amigo.org/DNASE2	alphafold/DNASE2	gemma/DNASE2	clinicalgenome.org/DNASE2
Aicardi-Goutieres syndrome 7 AGS7	IFIH1	AD	GOF	606951	Normal	Normal	Normal	Normal	NA	Classical AGS, SLE, SP, SMS	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/IFIH1	ensembl.org/IFIH1	omim.org/IFIH1	GWAS/IFIH1	omni/IFIH1	gnomad.org/r2IFIH1	gnomad.org/r3IFIH1	rcsb.org/IFIH1	genenames.org/IFIH1	hpo/ORPHA/IFIH1	hpo.jax.org/IFIH1	amigo.org/IFIH1	alphafold/IFIH1	gemma/IFIH1	clinicalgenome.org/IFIH1
LSM11 deficiency	LSM11	AR	NA	NA	NA	NA	NA	NA	NA	Classical AGS, SLE, FCL	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/LSM11	ensembl.org/LSM11	omim.org/LSM11	GWAS/LSM11	omni/LSM11	gnomad.org/r2LSM11	gnomad.org/r3LSM11	rcsb.org/LSM11	genenames.org/LSM11	hpo/ORPHA/LSM11	hpo.jax.org/LSM11	amigo.org/LSM11	alphafold/LSM11	gemma/LSM11	clinicalgenome.org/LSM11
OAS1 GOF	OAS1	AD	GOF	164350	NA	NA	NA	NA	NA	Pulmonary alveolar proteinosis, skin rash	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/OAS1	ensembl.org/OAS1	omim.org/OAS1	GWAS/OAS1	omni/OAS1	gnomad.org/r2OAS1	gnomad.org/r3OAS1	rcsb.org/OAS1	genenames.org/OAS1	hpo/ORPHA/OAS1	hpo.jax.org/OAS1	amigo.org/OAS1	alphafold/OAS1	gemma/OAS1	clinicalgenome.org/OAS1
RNASEH2A deficiency, AGS4	RNASEH2A	AR	NA	606034	Normal	Normal	Normal	Normal	NA	Classical AGS	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/RNASEH2A	ensembl.org/RNASEH2A	omim.org/RNASEH2A	GWAS/RNASEH2A	omni/RNASEH2A	gnomad.org/r2RNASEH2A	gnomad.org/r3RNASEH2A	rcsb.org/RNASEH2A	genenames.org/RNASEH2A	hpo/ORPHA/RNASEH2A	hpo.jax.org/RNASEH2A	amigo.org/RNASEH2A	alphafold/RNASEH2A	gemma/RNASEH2A	clinicalgenome.org/RNASEH2A
RNASEH2B deficiency, AGS2	RNASEH2B	AR	NA	610326	Normal	Normal	Normal	Normal	NA	Classical AGS, SP	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/RNASEH2B	ensembl.org/RNASEH2B	omim.org/RNASEH2B	GWAS/RNASEH2B	omni/RNASEH2B	gnomad.org/r2RNASEH2B	gnomad.org/r3RNASEH2B	rcsb.org/RNASEH2B	genenames.org/RNASEH2B	hpo/ORPHA/RNASEH2B	hpo.jax.org/RNASEH2B	amigo.org/RNASEH2B	alphafold/RNASEH2B	gemma/RNASEH2B	clinicalgenome.org/RNASEH2B
RNASEH2C deficiency, AGS3	RNASEH2C	AR	NA	610330	Normal	Normal	Normal	Normal	NA	Classical AGS	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/RNASEH2C	ensembl.org/RNASEH2C	omim.org/RNASEH2C	GWAS/RNASEH2C	omni/RNASEH2C	gnomad.org/r2RNASEH2C	gnomad.org/r3RNASEH2C	rcsb.org/RNASEH2C	genenames.org/RNASEH2C	hpo/ORPHA/RNASEH2C	hpo.jax.org/RNASEH2C	amigo.org/RNASEH2C	alphafold/RNASEH2C	gemma/RNASEH2C	clinicalgenome.org/RNASEH2C
RNU7-1 deficiency	RNU7-1	AR	NA	NA	NA	NA	NA	NA	NA	Classical AGS, SLE, FCL	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/RNU7-1	ensembl.org/RNU7-1	omim.org/RNU7-1	GWAS/RNU7-1	omni/RNU7-1	gnomad.org/r2RNU7-1	gnomad.org/r3RNU7-1	rcsb.org/RNU7-1	genenames.org/RNU7-1	hpo/ORPHA/RNU7-1	hpo.jax.org/RNU7-1	amigo.org/RNU7-1	alphafold/RNU7-1	gemma/RNU7-1	clinicalgenome.org/RNU7-1
SAMHD1 deficiency, AGS5	SAMHD1	AR	NA	606754	Normal	Normal	Normal	Normal	NA	Classical AGS, FCL	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/SAMHD1	ensembl.org/SAMHD1	omim.org/SAMHD1	GWAS/SAMHD1	omni/SAMHD1	gnomad.org/r2SAMHD1	gnomad.org/r3SAMHD1	rcsb.org/SAMHD1	genenames.org/SAMHD1	hpo/ORPHA/SAMHD1	hpo.jax.org/SAMHD1	amigo.org/SAMHD1	alphafold/SAMHD1	gemma/SAMHD1	clinicalgenome.org/SAMHD1
STAT2 R148 LOF/regulation prevents binding to USP18	STAT2	AR	NA	NA	Variable	NA	Low to normal	NA	Variable NK counts	Severe fatal early onset autoinflammation skin ulceration, fever, seizures, intracranial calcification, multiorgan dysfunction, abnormal neurodevelopment; phenocopy of USP18 deficiency. High serum IFN-α, IL6, TNF. IFN-opathy gene signature (impaired regulation of late cellular responses to type 1 IFN),	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/STAT2	ensembl.org/STAT2	omim.org/STAT2	GWAS/STAT2	omni/STAT2	gnomad.org/r2STAT2	gnomad.org/r3STAT2	rcsb.org/STAT2	genenames.org/STAT2	hpo/ORPHA/STAT2	hpo.jax.org/STAT2	amigo.org/STAT2	alphafold/STAT2	gemma/STAT2	clinicalgenome.org/STAT2
STING-like disease	TMEM173	AR	GOF	NA	NA	NA	Increased	NA	NA	Failure to thrive; early onset rash, fever, dyspnea, interstitial lung disease/pneumonitis, polyarthritis, autoAbs, clubbing. Increased inflammatory markers, IFN gene signature. Phenocopy of SAVI due to AD GOF TMEM173 variants.  2 patients succumbed; 4 successfully treated with JAK inhibitors	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	NA	NA	NA	NA	uniprot.org/TMEM173	ensembl.org/TMEM173	omim.org/TMEM173	GWAS/TMEM173	omni/TMEM173	gnomad.org/r2TMEM173	gnomad.org/r3TMEM173	rcsb.org/TMEM173	genenames.org/TMEM173	hpo/ORPHA/TMEM173	hpo.jax.org/TMEM173	amigo.org/TMEM173	alphafold/TMEM173	gemma/TMEM173	clinicalgenome.org/TMEM173
STING--associated vasculopathy, infantile-onset	TMEM173	AD	GOF	612374	NA	NA	NA	NA	NA	Skin vasculopathy, inflammatory lung disease, systemic autoinflammation and ICC, FCL	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002715	HP:0002633	uniprot.org/TMEM173	ensembl.org/TMEM173	omim.org/TMEM173	GWAS/TMEM173	omni/TMEM173	gnomad.org/r2TMEM173	gnomad.org/r3TMEM173	rcsb.org/TMEM173	genenames.org/TMEM173	hpo/ORPHA/TMEM173	hpo.jax.org/TMEM173	amigo.org/TMEM173	alphafold/TMEM173	gemma/TMEM173	clinicalgenome.org/TMEM173
TREX1 deficiency, Aicardi-Goutieres syndrome 1 AGS1	TREX1	AR	NA	606609	Normal	Normal	Normal	Normal	NA	Classical AGS, SLE, FCL	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/TREX1	ensembl.org/TREX1	omim.org/TREX1	GWAS/TREX1	omni/TREX1	gnomad.org/r2TREX1	gnomad.org/r3TREX1	rcsb.org/TREX1	genenames.org/TREX1	hpo/ORPHA/TREX1	hpo.jax.org/TREX1	amigo.org/TREX1	alphafold/TREX1	gemma/TREX1	clinicalgenome.org/TREX1
TREX1 deficiency, Aicardi-Goutieres syndrome 1 AGS1	TREX1	AD	NA	606609	Normal	Normal	Normal	Normal	NA	Classical AGS, SLE, FCL	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/TREX1	ensembl.org/TREX1	omim.org/TREX1	GWAS/TREX1	omni/TREX1	gnomad.org/r2TREX1	gnomad.org/r3TREX1	rcsb.org/TREX1	genenames.org/TREX1	hpo/ORPHA/TREX1	hpo.jax.org/TREX1	amigo.org/TREX1	alphafold/TREX1	gemma/TREX1	clinicalgenome.org/TREX1
USP18 deficiency	USP18	AR	NA	607057	NA	NA	NA	NA	NA	TORCH like syndrome	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	uniprot.org/USP18	ensembl.org/USP18	omim.org/USP18	GWAS/USP18	omni/USP18	gnomad.org/r2USP18	gnomad.org/r3USP18	rcsb.org/USP18	genenames.org/USP18	hpo/ORPHA/USP18	hpo.jax.org/USP18	amigo.org/USP18	alphafold/USP18	gemma/USP18	clinicalgenome.org/USP18
Familial Mediterranean fever	MEFV	AR	NA	249100	Normal	Normal	Normal	Normal	Mature granulocytes, cytokine-activated monocytes.	Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease.	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	277.31	M04.1	HP:0002721	HP:0001954	uniprot.org/MEFV	ensembl.org/MEFV	omim.org/MEFV	GWAS/MEFV	omni/MEFV	gnomad.org/r2MEFV	gnomad.org/r3MEFV	rcsb.org/MEFV	genenames.org/MEFV	hpo/ORPHA/MEFV	hpo.jax.org/MEFV	amigo.org/MEFV	alphafold/MEFV	gemma/MEFV	clinicalgenome.org/MEFV
Familial Mediterranean fever	MEFV	AD	NA	249100	Normal	Normal	Normal	Normal	Mature granulocytes, cytokine-activated monocytes.	Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease. Usually M694del variant.	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	277.31	M04.1	HP:0002721	HP:0001954	uniprot.org/MEFV	ensembl.org/MEFV	omim.org/MEFV	GWAS/MEFV	omni/MEFV	gnomad.org/r2MEFV	gnomad.org/r3MEFV	rcsb.org/MEFV	genenames.org/MEFV	hpo/ORPHA/MEFV	hpo.jax.org/MEFV	amigo.org/MEFV	alphafold/MEFV	gemma/MEFV	clinicalgenome.org/MEFV
Mevalonate kinase deficiency Hyper IgD syndrome	MVK	AR	NA	260920	Normal	Normal	Normal	Normal	 Somatic and hemaotpoietic	Periodic fever and leukocytosis with high IgD levels	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954	uniprot.org/MVK	ensembl.org/MVK	omim.org/MVK	GWAS/MVK	omni/MVK	gnomad.org/r2MVK	gnomad.org/r3MVK	rcsb.org/MVK	genenames.org/MVK	hpo/ORPHA/MVK	hpo.jax.org/MVK	amigo.org/MVK	alphafold/MVK	gemma/MVK	clinicalgenome.org/MVK
NLRC4 GOF-MAS (macrophage activating syndrome) or familial cold autoinflammatory syndrome 4	NLRC4	AD	GOF	616115	Normal	Normal	Normal	Normal	PMNs monocytes macrophages	Severe enterocolitis and macrophage activation syndrome	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954	uniprot.org/NLRC4	ensembl.org/NLRC4	omim.org/NLRC4	GWAS/NLRC4	omni/NLRC4	gnomad.org/r2NLRC4	gnomad.org/r3NLRC4	rcsb.org/NLRC4	genenames.org/NLRC4	hpo/ORPHA/NLRC4	hpo.jax.org/NLRC4	amigo.org/NLRC4	alphafold/NLRC4	gemma/NLRC4	clinicalgenome.org/NLRC4
NLRP1 deficiency	NLRP1	AR	NA	606579	Normal	Normal	Normal	Normal	leukocytes	Dyskeratosis, autoimmunity and arthritis	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.8	HP:0002721	HP:0001954	uniprot.org/NLRP1	ensembl.org/NLRP1	omim.org/NLRP1	GWAS/NLRP1	omni/NLRP1	gnomad.org/r2NLRP1	gnomad.org/r3NLRP1	rcsb.org/NLRP1	genenames.org/NLRP1	hpo/ORPHA/NLRP1	hpo.jax.org/NLRP1	amigo.org/NLRP1	alphafold/NLRP1	gemma/NLRP1	clinicalgenome.org/NLRP1
NLRP1 GOF	NLRP1	AD	GOF	615225	Normal	Normal	Normal	Normal	Keratinocytes	Palmoplantar carcinoma, corneal scarring	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	NA	NA	HP:0002721	HP:0001954	uniprot.org/NLRP1	ensembl.org/NLRP1	omim.org/NLRP1	GWAS/NLRP1	omni/NLRP1	gnomad.org/r2NLRP1	gnomad.org/r3NLRP1	rcsb.org/NLRP1	genenames.org/NLRP1	hpo/ORPHA/NLRP1	hpo.jax.org/NLRP1	amigo.org/NLRP1	alphafold/NLRP1	gemma/NLRP1	clinicalgenome.org/NLRP1
Familial cold autoinflammatory syndrome 2	NLRP12	AD	GOF	611762	Normal	Normal	Normal	Normal	PMNs, monocytes	Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure.	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954	uniprot.org/NLRP12	ensembl.org/NLRP12	omim.org/NLRP12	GWAS/NLRP12	omni/NLRP12	gnomad.org/r2NLRP12	gnomad.org/r3NLRP12	rcsb.org/NLRP12	genenames.org/NLRP12	hpo/ORPHA/NLRP12	hpo.jax.org/NLRP12	amigo.org/NLRP12	alphafold/NLRP12	gemma/NLRP12	clinicalgenome.org/NLRP12
Familial cold autoinflammatory syndrome 1	NLRP3	AD	GOF	120100	Normal	Normal	Normal	Normal	PMNs, monocytes	Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure.	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954	uniprot.org/NLRP3	ensembl.org/NLRP3	omim.org/NLRP3	GWAS/NLRP3	omni/NLRP3	gnomad.org/r2NLRP3	gnomad.org/r3NLRP3	rcsb.org/NLRP3	genenames.org/NLRP3	hpo/ORPHA/NLRP3	hpo.jax.org/NLRP3	amigo.org/NLRP3	alphafold/NLRP3	gemma/NLRP3	clinicalgenome.org/NLRP3
Neonatal onset multisystem inflammatory disease NOMID or chronic infantile  neurologic cutaneous and articular syndrome (CINCA)	NLRP3	AD	GOF	607115	Normal	Normal	Normal	Normal	PMNs, chondrocytes	Neonatal onset rash, chronic meningitis, and arthropathy with fever and inflammation.	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954	uniprot.org/NLRP3	ensembl.org/NLRP3	omim.org/NLRP3	GWAS/NLRP3	omni/NLRP3	gnomad.org/r2NLRP3	gnomad.org/r3NLRP3	rcsb.org/NLRP3	genenames.org/NLRP3	hpo/ORPHA/NLRP3	hpo.jax.org/NLRP3	amigo.org/NLRP3	alphafold/NLRP3	gemma/NLRP3	clinicalgenome.org/NLRP3
Muckle-Wells syndrome	NLRP3	AD	GOF	191900	Normal	Normal	Normal	Normal	PMNs Monocytes	Urticaria, SNHL, amyloidosis.	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954	uniprot.org/NLRP3	ensembl.org/NLRP3	omim.org/NLRP3	GWAS/NLRP3	omni/NLRP3	gnomad.org/r2NLRP3	gnomad.org/r3NLRP3	rcsb.org/NLRP3	genenames.org/NLRP3	hpo/ORPHA/NLRP3	hpo.jax.org/NLRP3	amigo.org/NLRP3	alphafold/NLRP3	gemma/NLRP3	clinicalgenome.org/NLRP3
RIPK1 deficiency	RIPK1	AD	NA	NA	NA	NA	NA	NA	NA	Autoinflamamtion with fver, HSM, ulcers, arthralgia, GI inflammation.  Responds to tocilizumab	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954	uniprot.org/RIPK1	ensembl.org/RIPK1	omim.org/RIPK1	GWAS/RIPK1	omni/RIPK1	gnomad.org/r2RIPK1	gnomad.org/r3RIPK1	rcsb.org/RIPK1	genenames.org/RIPK1	hpo/ORPHA/RIPK1	hpo.jax.org/RIPK1	amigo.org/RIPK1	alphafold/RIPK1	gemma/RIPK1	clinicalgenome.org/RIPK1
ADAM17 deficiency	ADAM17	AR	NA	614328	Normal	Normal	Normal	Normal	Leukocytes and epithelial cells	Early onset diarrhea and skin lesions	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0004387	uniprot.org/ADAM17	ensembl.org/ADAM17	omim.org/ADAM17	GWAS/ADAM17	omni/ADAM17	gnomad.org/r2ADAM17	gnomad.org/r3ADAM17	rcsb.org/ADAM17	genenames.org/ADAM17	hpo/ORPHA/ADAM17	hpo.jax.org/ADAM17	amigo.org/ADAM17	alphafold/ADAM17	gemma/ADAM17	clinicalgenome.org/ADAM17
ALPI deficiency	ALPI	AR	NA	171740	Normal	Normal	Normal	Normal	Intestinal epithelial cells	Inflammatory bowel disease	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	558.9	K52.3	HP:0002721	HP:0002037	uniprot.org/ALPI	ensembl.org/ALPI	omim.org/ALPI	GWAS/ALPI	omni/ALPI	gnomad.org/r2ALPI	gnomad.org/r3ALPI	rcsb.org/ALPI	genenames.org/ALPI	hpo/ORPHA/ALPI	hpo.jax.org/ALPI	amigo.org/ALPI	alphafold/ALPI	gemma/ALPI	clinicalgenome.org/ALPI
AP1S3 deficiency	AP1S3	AR	NA	615781	Normal	Normal	Normal	Normal	Keratinocytes	Pustular psoriasis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765	uniprot.org/AP1S3	ensembl.org/AP1S3	omim.org/AP1S3	GWAS/AP1S3	omni/AP1S3	gnomad.org/r2AP1S3	gnomad.org/r3AP1S3	rcsb.org/AP1S3	genenames.org/AP1S3	hpo/ORPHA/AP1S3	hpo.jax.org/AP1S3	amigo.org/AP1S3	alphafold/AP1S3	gemma/AP1S3	clinicalgenome.org/AP1S3
CAMPS CARD14 mediated psoriasis	CARD14	AD	NA	602723	NA	NA	NA	NA	Mainly in keratinocytes	Psoriasis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765	uniprot.org/CARD14	ensembl.org/CARD14	omim.org/CARD14	GWAS/CARD14	omni/CARD14	gnomad.org/r2CARD14	gnomad.org/r3CARD14	rcsb.org/CARD14	genenames.org/CARD14	hpo/ORPHA/CARD14	hpo.jax.org/CARD14	amigo.org/CARD14	alphafold/CARD14	gemma/CARD14	clinicalgenome.org/CARD14
COPA defect	COPA	AD	NA	6011924	NA	NA	NA	NA	PMN and tissue specific cells	Autoimmune inflammatory arthritis and interstitial lung disease with Th17 dysregulation and autoantibody production	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0006530	uniprot.org/COPA	ensembl.org/COPA	omim.org/COPA	GWAS/COPA	omni/COPA	gnomad.org/r2COPA	gnomad.org/r3COPA	rcsb.org/COPA	genenames.org/COPA	hpo/ORPHA/COPA	hpo.jax.org/COPA	amigo.org/COPA	alphafold/COPA	gemma/COPA	clinicalgenome.org/COPA
Tim-3 deficiency	HAVCR2	AR	NA	606652	Normal	Normal	Normal	Normal	Leukocytes	T-cell lymphoma, subcutaneous panniculitis-like, HLH	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	202.83	C86.3	HP:0002721	HP:0012490	uniprot.org/HAVCR2	ensembl.org/HAVCR2	omim.org/HAVCR2	GWAS/HAVCR2	omni/HAVCR2	gnomad.org/r2HAVCR2	gnomad.org/r3HAVCR2	rcsb.org/HAVCR2	genenames.org/HAVCR2	hpo/ORPHA/HAVCR2	hpo.jax.org/HAVCR2	amigo.org/HAVCR2	alphafold/HAVCR2	gemma/HAVCR2	clinicalgenome.org/HAVCR2
HCK disease	HCK	AD	GOF	NA	NA	NA	NA	NA	NA	Cutaneous vasculitis and chronic pulmonary inflammation/fibrosis. Inflammatory leukocyte infiltration of the lungs and skin, anemia, hepatosplenomegaly, death due to respiratory failure. Clinical improvement with ruxolitinib	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	NA	NA	NA	NA	uniprot.org/HCK	ensembl.org/HCK	omim.org/HCK	GWAS/HCK	omni/HCK	gnomad.org/r2HCK	gnomad.org/r3HCK	rcsb.org/HCK	genenames.org/HCK	hpo/ORPHA/HCK	hpo.jax.org/HCK	amigo.org/HCK	alphafold/HCK	gemma/HCK	clinicalgenome.org/HCK
DIRA Deficiency of the Interleukin 1 Receptor Antagonist	IL1RN	AR	NA	612852	Normal	Normal	Normal	Normal	PMNs, Monocytes	Neonatal onset of sterile multifocal osteomyelitis, periostitis and pustulosis.	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765	uniprot.org/IL1RN	ensembl.org/IL1RN	omim.org/IL1RN	GWAS/IL1RN	omni/IL1RN	gnomad.org/r2IL1RN	gnomad.org/r3IL1RN	rcsb.org/IL1RN	genenames.org/IL1RN	hpo/ORPHA/IL1RN	hpo.jax.org/IL1RN	amigo.org/IL1RN	alphafold/IL1RN	gemma/IL1RN	clinicalgenome.org/IL1RN
DITRA Deficiency of IL-36 receptor antagonist	IL36RN	AR	NA	614204	Normal	Normal	Normal	Normal	Keratinocytes, leukocytes	Pustular psoriasis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765	uniprot.org/IL36RN	ensembl.org/IL36RN	omim.org/IL36RN	GWAS/IL36RN	omni/IL36RN	gnomad.org/r2IL36RN	gnomad.org/r3IL36RN	rcsb.org/IL36RN	genenames.org/IL36RN	hpo/ORPHA/IL36RN	hpo.jax.org/IL36RN	amigo.org/IL36RN	alphafold/IL36RN	gemma/IL36RN	clinicalgenome.org/IL36RN
Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia  Majeed syndrome	LPIN2	AR	NA	609628	Normal	Normal	Normal	Normal	Neutrophils, bone marrow cells	Chronic recurrent multifocal osteomyelitis, transfusion-dependent anemia, cutaneous inflammatory disorders	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	NA	uniprot.org/LPIN2	ensembl.org/LPIN2	omim.org/LPIN2	GWAS/LPIN2	omni/LPIN2	gnomad.org/r2LPIN2	gnomad.org/r3LPIN2	rcsb.org/LPIN2	genenames.org/LPIN2	hpo/ORPHA/LPIN2	hpo.jax.org/LPIN2	amigo.org/LPIN2	alphafold/LPIN2	gemma/LPIN2	clinicalgenome.org/LPIN2
HEM1 NCKAPIL deficiency	NCKAPIL	AR	NA	NA	Normal T cell counts but high TCM, decreased prolfieration	Normal	Normal to high	NA	NA	Infections, skin rashes, ulcers, SLE-like, fever, HLH-like, FTT.  High Th1 cytokines	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	558.9	K52.3	HP:0002721	HP:0002037	uniprot.org/NCKAPIL	ensembl.org/NCKAPIL	omim.org/NCKAPIL	GWAS/NCKAPIL	omni/NCKAPIL	gnomad.org/r2NCKAPIL	gnomad.org/r3NCKAPIL	rcsb.org/NCKAPIL	genenames.org/NCKAPIL	hpo/ORPHA/NCKAPIL	hpo.jax.org/NCKAPIL	amigo.org/NCKAPIL	alphafold/NCKAPIL	gemma/NCKAPIL	clinicalgenome.org/NCKAPIL
Blau syndrome	NOD2	AD	NA	186580	Normal	Normal	Normal	Normal	Monocytes	Uveitis, granulomatous synovitis, camptodactyly, rash and cranial neuropathies, 30% develop Crohn colitis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0000554	uniprot.org/NOD2	ensembl.org/NOD2	omim.org/NOD2	GWAS/NOD2	omni/NOD2	gnomad.org/r2NOD2	gnomad.org/r3NOD2	rcsb.org/NOD2	genenames.org/NOD2	hpo/ORPHA/NOD2	hpo.jax.org/NOD2	amigo.org/NOD2	alphafold/NOD2	gemma/NOD2	clinicalgenome.org/NOD2
Otulipenia/ORAS	OTULIN	AR	NA	615712	NA	NA	NA	NA	Leukocytes	Fever, diarrhea , dermatitis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0001954	uniprot.org/OTULIN	ensembl.org/OTULIN	omim.org/OTULIN	GWAS/OTULIN	omni/OTULIN	gnomad.org/r2OTULIN	gnomad.org/r3OTULIN	rcsb.org/OTULIN	genenames.org/OTULIN	hpo/ORPHA/OTULIN	hpo.jax.org/OTULIN	amigo.org/OTULIN	alphafold/OTULIN	gemma/OTULIN	clinicalgenome.org/OTULIN
PLAID PLCg2 associated antibody deficiency and immune dysregulation or familial cold autoinflammatory syndrome 3  or APLAID (c2120A>C)	PLCG2	AD	GOF	614468	Normal	Normal	Normal	Normal	B cells, NK, Mast cells	Cold urticaria hypogammaglobulinemia, autoinflammation	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0001954	uniprot.org/PLCG2	ensembl.org/PLCG2	omim.org/PLCG2	GWAS/PLCG2	omni/PLCG2	gnomad.org/r2PLCG2	gnomad.org/r3PLCG2	rcsb.org/PLCG2	genenames.org/PLCG2	hpo/ORPHA/PLCG2	hpo.jax.org/PLCG2	amigo.org/PLCG2	alphafold/PLCG2	gemma/PLCG2	clinicalgenome.org/PLCG2
